employee_id,full_name_hash,department,job_level,location,hire_date,annual_salary,performance_score,is_remote,work_email,phone_number
EMP-5208,employee_208,Operations,Mid,New York,2015-09-03 08:14:24.864864864,60400.0,3.3,False,employee208@insightforge-demo.com,+1-555-382-2307
EMP-5356,employee_356,Marketing,Junior,Bangalore,2015-09-11 09:17:50.270270268,65200.0,4.23,True,employee356@insightforge-demo.com,+1-555-926-1554
EMP-5430,employee_430,Customer Support,Senior,Toronto,2015-09-11 09:17:50.270270268,107200.0,3.82,False,employee430@insightforge-demo.com,+1-555-970-7724
EMP-5238,employee_238,Engineering,Mid,London,2015-09-19 10:21:15.675675676,61800.0,4.74,False,employee238@insightforge-demo.com,+1-555-196-6696
EMP-5126,employee_126,Marketing,Mid,London,2015-09-23 10:52:58.378378376,82700.0,4.45,False,employee126@insightforge-demo.com,+1-555-340-1018
EMP-5365,employee_365,Operations,Senior,New York,2015-09-23 10:52:58.378378376,99600.0,3.1,False,employee365@insightforge-demo.com,+1-555-207-2788
EMP-5560,employee_560,Finance,Mid,New York,2015-10-05 12:28:06.486486484,74300.0,4.71,True,employee560@insightforge-demo.com,+1-555-875-3619
EMP-5150,employee_150,Engineering,Senior,Singapore,2015-10-05 12:28:06.486486484,93400.0,2.99,False,employee150@insightforge-demo.com,+1-555-309-5703
EMP-5372,employee_372,Engineering,Lead,New York,2015-10-09 12:59:49.189189188,116800.0,3.76,False,employee372@insightforge-demo.com,+1-555-317-1120
EMP-5251,employee_251,Customer Support,Mid,Bangalore,2015-10-09 12:59:49.189189188,68200.0,2.01,True,employee251@insightforge-demo.com,+1-555-789-5703
EMP-5446,employee_446,Engineering,Junior,Singapore,2015-10-17 14:03:14.594594592,62200.0,4.55,True,employee446@insightforge-demo.com,+1-555-130-8787
EMP-5290,employee_290,HR,Junior,Remote,2015-10-21 14:34:57.297297296,39900.0,2.78,False,employee290@insightforge-demo.com,+1-555-363-9282
EMP-5521,employee_521,Customer Support,Junior,New York,2015-10-25 15:06:40.000000000,56700.0,5.0,True,employee521@insightforge-demo.com,+1-555-165-1555
EMP-5371,employee_371,Finance,Junior,Bangalore,2015-10-25 15:06:40.000000000,44400.0,2.79,True,employee371@insightforge-demo.com,+1-555-414-1239
EMP-5563,employee_563,Marketing,Junior,Remote,2015-11-26 19:20:21.621621620,40200.0,,False,employee563@insightforge-demo.com,+1-555-720-9181
EMP-5010,employee_10,Operations,Lead,Bangalore,2015-11-30 19:52:04.324324324,116400.0,5.0,False,employee10@insightforge-demo.com,+1-555-868-3618
EMP-5070,employee_70,Operations,Senior,Bangalore,2015-11-30 19:52:04.324324324,97100.0,3.42,False,employee70@insightforge-demo.com,+1-555-682-8708
EMP-5449,employee_449,HR,Lead,New York,2015-11-30 19:52:04.324324324,123000.0,3.89,False,employee449@insightforge-demo.com,+1-555-549-2441
EMP-5190,employee_190,Marketing,Mid,Bangalore,2015-12-04 20:23:47.027027024,50300.0,3.64,True,employee190@insightforge-demo.com,+1-555-458-6362
EMP-5334,employee_334,Operations,Junior,Singapore,2015-12-12 21:27:12.432432432,43400.0,4.3,True,employee334@insightforge-demo.com,+1-555-316-2716
EMP-5281,employee_281,Sales,Mid,Toronto,2016-01-06 00:37:28.648648648,70500.0,3.62,False,employee281@insightforge-demo.com,+1-555-363-6037
EMP-5201,employee_201,Engineering,Senior,Toronto,2016-01-14 01:40:54.054054052,96200.0,4.28,False,employee201@insightforge-demo.com,+1-555-683-3874
EMP-5107,employee_107,Finance,Junior,London,2016-01-18 02:12:36.756756756,44100.0,,False,employee107@insightforge-demo.com,+1-555-699-7217
EMP-5532,employee_532,Finance,Junior,Bangalore,2016-01-26 03:16:02.162162160,41200.0,4.08,False,employee532@insightforge-demo.com,+1-555-373-9299
EMP-5514,employee_514,Marketing,Senior,London,2016-02-15 05:54:35.675675676,85900.0,3.71,True,employee514@insightforge-demo.com,+1-555-196-8886
EMP-5083,employee_83,Operations,Mid,Bangalore,2016-03-02 08:01:26.486486488,93000.0,4.6,False,employee83@insightforge-demo.com,+1-555-275-9678
EMP-5232,employee_232,HR,Mid,New York,2016-03-14 09:36:34.594594592,60000.0,3.49,False,employee232@insightforge-demo.com,+1-555-834-5986
EMP-5231,employee_231,Customer Support,Junior,London,2016-03-18 10:08:17.297297296,58100.0,3.01,True,employee231@insightforge-demo.com,+1-555-464-4994
EMP-5028,employee_28,Operations,Senior,New York,2016-03-22 10:40:00.000000000,86300.0,3.88,True,employee28@insightforge-demo.com,+1-555-174-3877
EMP-5566,employee_566,Operations,Junior,Remote,2016-03-22 10:40:00.000000000,54500.0,3.34,False,employee566@insightforge-demo.com,+1-555-450-5137
EMP-5401,employee_401,Customer Support,Junior,Bangalore,2016-04-03 12:15:08.108108104,53700.0,3.0,True,employee401@insightforge-demo.com,+1-555-636-5624
EMP-5573,employee_573,Sales,Senior,London,2016-04-07 12:46:50.810810808,100900.0,2.97,True,employee573@insightforge-demo.com,+1-555-250-9150
EMP-5511,employee_511,Operations,Lead,London,2016-04-07 12:46:50.810810808,139300.0,2.89,False,employee511@insightforge-demo.com,+1-555-989-4394
EMP-5386,employee_386,Engineering,Junior,New York,2016-04-19 14:21:58.918918920,74700.0,4.07,False,employee386@insightforge-demo.com,+1-555-237-2850
EMP-5527,employee_527,HR,Mid,Toronto,2016-04-23 14:53:41.621621616,99400.0,3.6,True,employee527@insightforge-demo.com,+1-555-318-8199
EMP-5148,employee_148,Operations,Junior,Toronto,2016-05-29 19:39:05.945945944,55400.0,3.35,False,employee148@insightforge-demo.com,+1-555-184-1314
EMP-5349,employee_349,Operations,Senior,Bangalore,2016-06-02 20:10:48.648648648,115100.0,4.25,False,employee349@insightforge-demo.com,+1-555-261-5864
EMP-5496,employee_496,Sales,Junior,Singapore,2016-06-14 21:45:56.756756752,47100.0,3.16,True,employee496@insightforge-demo.com,+1-555-197-7154
EMP-5235,employee_235,Engineering,Mid,Remote,2016-06-18 22:17:39.459459456,71900.0,3.93,True,employee235@insightforge-demo.com,+1-555-746-8952
EMP-5147,employee_147,Operations,Lead,London,2016-06-18 22:17:39.459459456,128700.0,3.66,False,employee147@insightforge-demo.com,+1-555-263-4712
EMP-5489,employee_489,HR,Junior,Remote,2016-06-26 23:21:04.864864864,57700.0,4.21,False,employee489@insightforge-demo.com,+1-555-503-6734
EMP-5099,employee_99,Marketing,Junior,New York,2016-07-05 00:24:30.270270272,46000.0,4.24,True,employee99@insightforge-demo.com,+1-555-346-8455
EMP-5352,employee_352,Marketing,Senior,London,2016-07-09 00:56:12.972972968,104600.0,3.88,False,employee352@insightforge-demo.com,+1-555-193-5101
EMP-5402,employee_402,HR,Mid,New York,2016-07-21 02:31:21.081081080,57900.0,4.33,False,employee402@insightforge-demo.com,+1-555-595-4580
EMP-5580,employee_580,Customer Support,Junior,Remote,2016-07-25 03:03:03.783783784,63200.0,2.74,False,employee580@insightforge-demo.com,+1-555-819-6983
EMP-5347,employee_347,Engineering,Mid,London,2016-07-25 03:03:03.783783784,71000.0,3.71,False,employee347@insightforge-demo.com,+1-555-456-8555
EMP-5482,employee_482,Operations,Senior,London,2016-07-29 03:34:46.486486488,99900.0,3.06,False,employee482@insightforge-demo.com,+1-555-507-9578
EMP-5293,employee_293,Engineering,Manager,London,2016-07-29 03:34:46.486486488,145100.0,3.79,False,employee293@insightforge-demo.com,+1-555-349-6873
EMP-5271,employee_271,Operations,Junior,London,2016-08-26 07:16:45.405405400,41200.0,4.66,False,employee271@insightforge-demo.com,+1-555-672-3386
EMP-5244,employee_244,Marketing,Junior,Toronto,2016-09-23 10:58:44.324324320,58500.0,3.45,False,employee244@insightforge-demo.com,+1-555-725-3241
EMP-5283,employee_283,Finance,Mid,Toronto,2016-10-05 12:33:52.432432432,79000.0,2.61,False,employee283@insightforge-demo.com,+1-555-696-5136
EMP-5260,employee_260,Sales,Junior,Toronto,2016-10-05 12:33:52.432432432,61800.0,3.22,True,employee260@insightforge-demo.com,+1-555-799-1296
EMP-5493,employee_493,Marketing,Junior,New York,2016-10-05 12:33:52.432432432,47800.0,3.8,False,employee493@insightforge-demo.com,+1-555-498-8484
EMP-5200,employee_200,Marketing,Senior,New York,2016-10-13 13:37:17.837837832,109500.0,3.92,False,employee200@insightforge-demo.com,+1-555-492-9378
EMP-5436,employee_436,Sales,Director,New York,2016-10-21 14:40:43.243243240,162400.0,4.2,False,employee436@insightforge-demo.com,+1-555-539-6906
EMP-5219,employee_219,Sales,Lead,London,2016-11-06 16:47:34.054054048,128500.0,4.14,True,employee219@insightforge-demo.com,+1-555-408-7989
EMP-5247,employee_247,Customer Support,Senior,Toronto,2016-11-10 17:19:16.756756752,97800.0,4.28,False,employee247@insightforge-demo.com,+1-555-146-8930
EMP-5206,employee_206,Engineering,Senior,Bangalore,2016-11-18 18:22:42.162162160,105000.0,3.47,False,employee206@insightforge-demo.com,+1-555-801-9245
EMP-5180,employee_180,HR,Junior,Toronto,2016-11-18 18:22:42.162162160,67200.0,2.24,True,employee180@insightforge-demo.com,+1-555-410-3181
EMP-5016,employee_16,Sales,Mid,Bangalore,2016-11-18 18:22:42.162162160,74500.0,4.86,False,employee16@insightforge-demo.com,+1-555-487-4747
EMP-5425,employee_425,HR,Junior,Bangalore,2016-11-26 19:26:07.567567568,54500.0,3.77,True,employee425@insightforge-demo.com,+1-555-580-2996
EMP-5343,employee_343,Marketing,Senior,Singapore,2016-11-26 19:26:07.567567568,103500.0,3.66,True,employee343@insightforge-demo.com,+1-555-206-7637
EMP-5308,employee_308,Engineering,Junior,New York,2016-11-30 19:57:50.270270264,67100.0,3.23,True,employee308@insightforge-demo.com,+1-555-939-6790
EMP-5090,employee_90,Finance,Junior,London,2016-11-30 19:57:50.270270264,56100.0,3.86,True,employee90@insightforge-demo.com,+1-555-347-5642
EMP-5512,employee_512,HR,Manager,New York,2016-12-20 22:36:23.783783784,141100.0,3.39,False,employee512@insightforge-demo.com,+1-555-977-5559
EMP-5135,employee_135,Operations,Senior,London,2016-12-20 22:36:23.783783784,102800.0,3.26,True,employee135@insightforge-demo.com,+1-555-730-2072
EMP-5409,employee_409,HR,Junior,Remote,2016-12-24 23:08:06.486486480,44800.0,4.29,False,employee409@insightforge-demo.com,+1-555-390-4923
EMP-5175,employee_175,Engineering,Manager,Toronto,2016-12-28 23:39:49.189189184,126900.0,3.48,False,employee175@insightforge-demo.com,+1-555-702-4777
EMP-5584,employee_584,Operations,Lead,Toronto,2016-12-28 23:39:49.189189184,133300.0,3.52,False,employee584@insightforge-demo.com,+1-555-147-9968
EMP-5399,employee_399,Marketing,Mid,Toronto,2017-01-14 01:46:40.000000000,85100.0,3.08,True,employee399@insightforge-demo.com,+1-555-154-9734
EMP-5041,employee_41,Customer Support,Mid,Remote,2017-01-18 02:18:22.702702696,81200.0,2.66,False,employee41@insightforge-demo.com,+1-555-517-1397
EMP-5357,employee_357,Engineering,Senior,Singapore,2017-01-22 02:50:05.405405400,100000.0,3.65,False,employee357@insightforge-demo.com,+1-555-863-1393
EMP-5018,employee_18,Sales,Junior,Remote,2017-01-22 02:50:05.405405400,59100.0,3.81,False,employee18@insightforge-demo.com,+1-555-862-2953
EMP-5525,employee_525,Finance,Senior,Remote,2017-01-26 03:21:48.108108104,108500.0,3.35,False,employee525@insightforge-demo.com,+1-555-444-6430
EMP-5465,employee_465,Marketing,Mid,New York,2017-01-26 03:21:48.108108104,66600.0,3.95,True,employee465@insightforge-demo.com,+1-555-271-2508
EMP-5302,employee_302,Sales,Junior,Remote,2017-02-11 05:28:38.918918912,51100.0,2.91,False,employee302@insightforge-demo.com,+1-555-435-7648
EMP-5398,employee_398,HR,Senior,Toronto,2017-02-19 06:32:04.324324320,108300.0,4.85,True,employee398@insightforge-demo.com,+1-555-670-6136
EMP-5516,employee_516,Finance,Mid,London,2017-02-23 07:03:47.027027024,74400.0,3.73,True,employee516@insightforge-demo.com,+1-555-964-2654
EMP-5595,employee_595,HR,Junior,Remote,2017-02-23 07:03:47.027027024,51200.0,2.87,False,employee595@insightforge-demo.com,+1-555-937-8409
EMP-5132,employee_132,Operations,Junior,London,2017-02-27 07:35:29.729729728,54700.0,3.44,False,employee132@insightforge-demo.com,+1-555-956-6306
EMP-5277,employee_277,Sales,Junior,Bangalore,2017-02-27 07:35:29.729729728,46800.0,3.21,False,employee277@insightforge-demo.com,+1-555-293-3661
EMP-5082,employee_82,Sales,Junior,Bangalore,2017-03-03 08:07:12.432432432,60700.0,3.39,True,employee82@insightforge-demo.com,+1-555-714-9273
EMP-5110,employee_110,Finance,Mid,Bangalore,2017-03-11 09:10:37.837837832,74300.0,3.05,False,employee110@insightforge-demo.com,+1-555-572-1136
EMP-5287,employee_287,Sales,Director,Remote,2017-03-31 11:49:11.351351352,168900.0,3.77,False,employee287@insightforge-demo.com,+1-555-433-9036
EMP-5396,employee_396,HR,Junior,Singapore,2017-03-31 11:49:11.351351352,52900.0,2.4,True,employee396@insightforge-demo.com,+1-555-953-4971
EMP-5547,employee_547,Marketing,Senior,Bangalore,2017-03-31 11:49:11.351351352,118000.0,3.57,False,employee547@insightforge-demo.com,+1-555-879-1169
EMP-5278,employee_278,Marketing,Junior,New York,2017-05-10 17:06:18.378378368,54900.0,4.03,True,employee278@insightforge-demo.com,+1-555-934-2990
EMP-5279,employee_279,Engineering,Mid,Bangalore,2017-05-14 17:38:01.081081072,77800.0,2.64,True,employee279@insightforge-demo.com,+1-555-927-5805
EMP-5249,employee_249,Engineering,Senior,Singapore,2017-05-18 18:09:43.783783776,96500.0,4.41,True,employee249@insightforge-demo.com,+1-555-114-3486
EMP-5501,employee_501,Marketing,Mid,New York,2017-05-18 18:09:43.783783776,77900.0,3.89,True,employee501@insightforge-demo.com,+1-555-414-4635
EMP-5047,employee_47,Marketing,Junior,Bangalore,2017-05-30 19:44:51.891891888,43900.0,4.51,True,employee47@insightforge-demo.com,+1-555-461-7385
EMP-5199,employee_199,Operations,Senior,Toronto,2017-06-03 20:16:34.594594592,109000.0,4.29,True,employee199@insightforge-demo.com,+1-555-696-4443
EMP-5375,employee_375,Customer Support,Junior,Remote,2017-06-07 20:48:17.297297296,37900.0,4.02,False,employee375@insightforge-demo.com,+1-555-957-8053
EMP-5479,employee_479,HR,Mid,London,2017-06-07 20:48:17.297297296,74200.0,3.26,False,employee479@insightforge-demo.com,+1-555-482-3738
EMP-5504,employee_504,Finance,Junior,New York,2017-06-15 21:51:42.702702704,34900.0,4.29,False,employee504@insightforge-demo.com,+1-555-207-9367
EMP-5335,employee_335,Customer Support,Mid,London,2017-06-15 21:51:42.702702704,74500.0,3.12,False,employee335@insightforge-demo.com,+1-555-244-2143
EMP-5562,employee_562,Sales,Mid,Singapore,2017-06-19 22:23:25.405405408,65800.0,3.86,True,employee562@insightforge-demo.com,+1-555-415-5062
EMP-5407,employee_407,Operations,Senior,Bangalore,2017-06-23 22:55:08.108108112,99800.0,3.05,True,employee407@insightforge-demo.com,+1-555-347-4121
EMP-5299,employee_299,Operations,Junior,London,2017-07-01 23:58:33.513513504,48700.0,4.74,False,employee299@insightforge-demo.com,+1-555-243-4229
EMP-5368,employee_368,Marketing,Senior,New York,2017-07-01 23:58:33.513513504,88400.0,3.93,True,employee368@insightforge-demo.com,+1-555-342-1912
EMP-5071,employee_71,Operations,Mid,New York,2017-07-06 00:30:16.216216208,70500.0,3.17,False,employee71@insightforge-demo.com,+1-555-453-3816
EMP-5048,employee_48,Marketing,Junior,Singapore,2017-07-14 01:33:41.621621616,57500.0,4.15,False,employee48@insightforge-demo.com,+1-555-479-2392
EMP-5474,employee_474,Sales,Manager,Singapore,2017-07-18 02:05:24.324324320,126900.0,4.35,False,employee474@insightforge-demo.com,+1-555-807-3783
EMP-5169,employee_169,Sales,Lead,Toronto,2017-07-22 02:37:07.027027024,139500.0,4.33,False,employee169@insightforge-demo.com,+1-555-775-9082
EMP-5116,employee_116,Engineering,Senior,Remote,2017-08-03 04:12:15.135135136,83700.0,3.63,False,employee116@insightforge-demo.com,+1-555-473-7427
EMP-5049,employee_49,Customer Support,Mid,Bangalore,2017-08-03 04:12:15.135135136,70600.0,3.51,True,employee49@insightforge-demo.com,+1-555-980-4144
EMP-5428,employee_428,Finance,Senior,London,2017-08-11 05:15:40.540540544,98500.0,4.15,True,employee428@insightforge-demo.com,+1-555-337-4389
EMP-5441,employee_441,Engineering,Senior,Remote,2017-08-23 06:50:48.648648640,103200.0,3.3,False,employee441@insightforge-demo.com,+1-555-432-7403
EMP-5153,employee_153,Operations,Senior,Bangalore,2017-08-23 06:50:48.648648640,95700.0,3.78,True,employee153@insightforge-demo.com,+1-555-384-9780
EMP-5264,employee_264,Sales,Director,New York,2017-09-04 08:25:56.756756752,163800.0,2.08,False,employee264@insightforge-demo.com,+1-555-545-9713
EMP-5243,employee_243,HR,Mid,Bangalore,2017-09-16 10:01:04.864864864,79500.0,3.74,True,employee243@insightforge-demo.com,+1-555-342-3135
EMP-5257,employee_257,Marketing,Lead,New York,2017-09-24 11:04:30.270270272,113600.0,4.17,True,employee257@insightforge-demo.com,+1-555-401-5409
EMP-5104,employee_104,HR,Junior,London,2017-10-02 12:07:55.675675664,50600.0,2.88,True,employee104@insightforge-demo.com,+1-555-956-8688
EMP-5373,employee_373,Customer Support,Junior,London,2017-10-06 12:39:38.378378368,57300.0,3.89,False,employee373@insightforge-demo.com,+1-555-751-5408
EMP-5211,employee_211,Engineering,Mid,New York,2017-10-14 13:43:03.783783776,77200.0,4.29,False,employee211@insightforge-demo.com,+1-555-742-8283
EMP-5156,employee_156,Customer Support,Mid,Singapore,2017-10-14 13:43:03.783783776,84800.0,4.06,False,employee156@insightforge-demo.com,+1-555-207-2098
EMP-5345,employee_345,Customer Support,Director,London,2017-10-18 14:14:46.486486480,161800.0,3.31,False,employee345@insightforge-demo.com,+1-555-796-4629
EMP-5114,employee_114,Operations,Senior,Bangalore,2017-10-22 14:46:29.189189184,86300.0,2.79,True,employee114@insightforge-demo.com,+1-555-391-6444
EMP-5000,employee_0,Finance,Junior,Toronto,2017-11-03 16:21:37.297297296,39300.0,3.7,False,employee0@insightforge-demo.com,+1-555-604-7467
EMP-5144,employee_144,Customer Support,Mid,London,2017-11-15 17:56:45.405405408,81700.0,3.57,True,employee144@insightforge-demo.com,+1-555-226-3684
EMP-5332,employee_332,Marketing,Junior,Remote,2017-11-15 17:56:45.405405408,57900.0,2.78,False,employee332@insightforge-demo.com,+1-555-608-9062
EMP-5137,employee_137,Operations,Mid,Remote,2017-11-19 18:28:28.108108112,69400.0,3.86,True,employee137@insightforge-demo.com,+1-555-499-2999
EMP-5022,employee_22,Sales,Director,Toronto,2017-11-27 19:31:53.513513504,174800.0,3.78,False,employee22@insightforge-demo.com,+1-555-580-1738
EMP-5472,employee_472,Finance,Director,London,2017-12-01 20:03:36.216216208,192100.0,4.25,False,employee472@insightforge-demo.com,+1-555-446-1259
EMP-5313,employee_313,Operations,Senior,Bangalore,2017-12-05 20:35:18.918918912,103800.0,3.46,False,employee313@insightforge-demo.com,+1-555-469-5625
EMP-5149,employee_149,Engineering,Senior,Singapore,2017-12-09 21:07:01.621621616,110800.0,3.34,True,employee149@insightforge-demo.com,+1-555-689-8418
EMP-5486,employee_486,Customer Support,Junior,New York,2017-12-13 21:38:44.324324320,45000.0,3.1,False,employee486@insightforge-demo.com,+1-555-308-7768
EMP-5074,employee_74,Sales,Manager,London,2018-01-07 00:49:00.540540544,131000.0,,False,employee74@insightforge-demo.com,+1-555-926-8101
EMP-5123,employee_123,Operations,Lead,Singapore,2018-01-07 00:49:00.540540544,120300.0,3.15,True,employee123@insightforge-demo.com,+1-555-783-4177
EMP-5305,employee_305,HR,Senior,Remote,2018-01-11 01:20:43.243243232,91700.0,,False,employee305@insightforge-demo.com,+1-555-240-8885
EMP-5579,employee_579,Operations,Lead,Singapore,2018-01-31 03:59:16.756756752,119400.0,3.39,False,employee579@insightforge-demo.com,+1-555-406-4033
EMP-5151,employee_151,Engineering,Mid,Singapore,2018-02-08 05:02:42.162162160,58600.0,2.91,False,employee151@insightforge-demo.com,+1-555-614-7007
EMP-5040,employee_40,HR,Mid,Remote,2018-02-08 05:02:42.162162160,80300.0,3.56,True,employee40@insightforge-demo.com,+1-555-990-9884
EMP-5159,employee_159,Customer Support,Senior,Remote,2018-02-20 06:37:50.270270272,93300.0,3.98,True,employee159@insightforge-demo.com,+1-555-366-2190
EMP-5215,employee_215,Customer Support,Mid,Singapore,2018-02-28 07:41:15.675675664,76900.0,2.63,False,employee215@insightforge-demo.com,+1-555-622-8714
EMP-5081,employee_81,Finance,Lead,Bangalore,2018-03-12 09:16:23.783783776,130900.0,2.81,False,employee81@insightforge-demo.com,+1-555-862-5859
EMP-5520,employee_520,Customer Support,Mid,Remote,2018-03-20 10:19:49.189189184,73900.0,3.01,False,employee520@insightforge-demo.com,+1-555-979-4114
EMP-5267,employee_267,HR,Junior,Singapore,2018-03-20 10:19:49.189189184,55600.0,5.0,True,employee267@insightforge-demo.com,+1-555-667-7558
EMP-5508,employee_508,Finance,Junior,Singapore,2018-03-28 11:23:14.594594592,56100.0,4.37,True,employee508@insightforge-demo.com,+1-555-937-8505
EMP-5553,employee_553,Marketing,Lead,New York,2018-04-01 11:54:57.297297296,111900.0,2.76,True,employee553@insightforge-demo.com,+1-555-484-9555
EMP-5035,employee_35,Finance,Junior,London,2018-04-09 12:58:22.702702704,63900.0,3.16,True,employee35@insightforge-demo.com,+1-555-945-6928
EMP-5044,employee_44,Sales,Director,Remote,2018-04-09 12:58:22.702702704,190600.0,3.73,True,employee44@insightforge-demo.com,+1-555-665-1964
EMP-5438,employee_438,Operations,Mid,Remote,2018-04-13 13:30:05.405405408,81200.0,4.11,True,employee438@insightforge-demo.com,+1-555-624-3641
EMP-5408,employee_408,Marketing,Mid,Remote,2018-04-29 15:36:56.216216208,66700.0,2.87,False,employee408@insightforge-demo.com,+1-555-390-4166
EMP-5061,employee_61,Finance,Mid,New York,2018-05-03 16:08:38.918918912,76400.0,3.09,False,employee61@insightforge-demo.com,+1-555-792-1126
EMP-5056,employee_56,Customer Support,Mid,Remote,2018-05-07 16:40:21.621621616,76500.0,4.07,True,employee56@insightforge-demo.com,+1-555-672-1804
EMP-5369,employee_369,Marketing,Senior,London,2018-05-07 16:40:21.621621616,104600.0,3.09,True,employee369@insightforge-demo.com,+1-555-625-2267
EMP-5223,employee_223,Operations,Mid,New York,2018-05-23 18:47:12.432432432,74400.0,4.47,False,employee223@insightforge-demo.com,+1-555-217-6217
EMP-5454,employee_454,Customer Support,Mid,New York,2018-05-27 19:18:55.135135136,70700.0,4.71,True,employee454@insightforge-demo.com,+1-555-773-9030
EMP-5004,employee_4,HR,Mid,Remote,2018-05-27 19:18:55.135135136,80400.0,3.68,False,employee4@insightforge-demo.com,+1-555-437-1469
EMP-5003,employee_3,Marketing,Mid,Toronto,2018-06-24 23:00:54.054054048,82600.0,4.66,True,employee3@insightforge-demo.com,+1-555-602-2968
EMP-5111,employee_111,HR,Lead,London,2018-06-24 23:00:54.054054048,125200.0,4.3,True,employee111@insightforge-demo.com,+1-555-540-6802
EMP-5431,employee_431,Marketing,Junior,London,2018-07-11 01:07:44.864864864,43200.0,3.12,True,employee431@insightforge-demo.com,+1-555-859-2126
EMP-5466,employee_466,Customer Support,Lead,Bangalore,2018-07-15 01:39:27.567567568,119400.0,3.85,False,employee466@insightforge-demo.com,+1-555-821-4808
EMP-5167,employee_167,Operations,Senior,London,2018-07-19 02:11:10.270270272,96000.0,3.16,False,employee167@insightforge-demo.com,+1-555-825-3053
